epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,3310.04,0.40697,0.8186,1,0.50681,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,3393.16,0.39193,0.82505,1,0.50964,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,3476.76,0.38369,0.81031,1,0.539,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,3560.61,0.38114,0.82689,1,0.49975,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,3643.53,0.36156,0.84807,1,0.49826,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,3727.25,0.36278,0.8361,1,0.50694,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,3810.49,0.38528,0.81952,1,0.47796,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,3894.75,0.35882,0.83517,1,0.46777,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,3980.33,0.36781,0.81123,1,0.56029,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,4063.46,0.34654,0.82044,1,0.50521,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,4146.01,0.34629,0.84346,1,0.49077,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,4228.62,0.32491,0.85267,1,0.45085,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,4311.18,0.32686,0.83886,1,0.50289,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,4393.6,0.32761,0.83702,1,0.51524,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,4476.97,0.3095,0.83978,1,0.51262,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,4560.63,0.30805,0.83886,1,0.48541,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,4639.04,0.31262,0.84438,1,0.48269,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,4709.34,0.30101,0.84899,1,0.47417,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,4777.5,0.30053,0.8453,1,0.48173,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,4845.54,0.31397,0.84899,1,0.45403,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,4913.49,0.28767,0.82965,1,0.52878,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
